codgeo;libgeo;p21_pop
08322;Neuville-lès-This;344
01416;Tenay;1013
32427;Sembouès;58
64393;Monein;4426
62862;Vincly;151
11145;Fleury;3896
07113;Labastide-de-Virac;317
86074;Chiré-en-Montreuil;924
82181;Sistels;203
66085;Fuilla;434
50188;Folligny;1100
60037;Baboeuf;511
02243;Crouy;2999
42253;Saint-Léger-sur-Roanne;1162
18171;Orcenais;245
55281;Latour-en-Woëvre;91
81292;Tanus;535
71255;Lesme;172
58302;Varennes-lès-Narcy;918
44028;Le Cellier;3992
34312;La Tour-sur-Orb;1324
64012;Ainharp;131
38010;Annoisin-Chatelans;717
22028;Camlez;830
29022;Camaret-sur-Mer;2447
77312;Montigny-sur-Loing;2621
82140;Piquecos;459
64188;Chéraute;1057
60563;Sacy-le-Petit;629
76315;Grainville-la-Teinturière;1072
32035;Beaucaire;236
02362;Guivry;239
51116;Champguyon;286
79243;Saint-Coutant;282
21694;Villeferry;23
02696;Saint-Thomas;72
17329;Saint-Froult;382
66062;Dorres;173
65140;Cazaux-Debat;31
80523;Méaulte;1266
85006;Apremont;1948
12104;Foissac;485
65376;Recurt;210
03298;Varennes-sur-Allier;3609
16138;Fléac;3842
58095;Decize;5152
37157;Montrésor;313
62140;Bléquin;487
57598;Rouhling;1978
27576;Sainte-Opportune-du-Bosc;644
22169;Peumerit-Quintin;177
62633;OEuf-en-Ternois;254
16348;Saint-Saturnin;1281
22204;Ploëzal;1224
32262;Monbrun;416
22168;Perros-Guirec;7175
25336;Liesle;555
66101;Llupia;2140
51518;Saint-Thierry;602
84025;Cabrières-d'Avignon;1795
31087;Bragayrac;319
39517;Sirod;539
45060;La Bussière;771
48179;Saint-Privat-du-Fau;111
39317;La Marre;355
23111;Lizières;238
19111;Laval-sur-Luzège;102
89475;Villon;108
68350;Voegtlinshoffen;475
81290;Souel;169
41166;Oisly;388
77083;Champs-sur-Marne;25695
37035;Braye-sous-Faye;282
10294;Poligny;59
84080;Monteux;13129
32017;Aurensan;134
64391;Moncayolle-Larrory-Mendibieu;295
61483;Bagnoles-de-l'Orne;2704
14652;Saint-Pierre-du-Mont;75
31457;Roquefort-sur-Garonne;796
64104;Bedous;583
88097;Chauffecourt;42
60192;Cuy;219
16234;Moulidars;686
79095;Clussais-la-Pommeraie;577
14576;Sainte-Foy-de-Montgommery;512
45342;Villereau;397
38271;Murianette;867
11120;La Digne-d'Aval;531
18158;Moulins-sur-Yèvre;850
80016;Albert;9781
16224;Montchaude;719
03283;Thiel-sur-Acolin;1029
2B344;Verdèse;43
32256;Mirande;3454
51310;Jouy-lès-Reims;214
25150;Chevigney-sur-l'Ognon;290
88169;Fays;215
56076;Guern;1347
54031;Autreville-sur-Moselle;264
01073;Ceyzérieu;992
80777;Vauchelles-lès-Authie;136
21169;Chevannes;167
95212;Épiais-lès-Louvres;126
24291;Montignac;2759
63223;Menat;540
06158;Villars-sur-Var;781
45316;Sury-aux-Bois;782
55133;Couvertpuis;83
01043;Beynost;4877
61352;Rônai;179
26220;Nyons;6771
72243;Pontvallain;1624
89437;Venouse;294
01155;Évosges;142
55109;Chauvency-le-Château;229
86093;Dercé;161
25426;Noirefontaine;327
08310;Mouron;70
25161;Consolation-Maisonnettes;25
10321;La Rivière-de-Corps;3651
63286;Pouzol;267
88259;Landaville;295
09296;Sinsat;153
89336;Saint-Brancher;280
70548;Vernois-sur-Mance;135
57204;Failly;540
67048;Bitschhoffen;460
56127;Mauron;3170
60288;Grémévillers;477
22387;Le Vieux-Marché;1273
70233;Les Fessey;131
10167;Grandville;88
45261;Rebréchien;1351
62355;Fresnes-lès-Montauban;596
57307;Hayes;255
32059;Bonas;126
58062;Château-Chinon (Ville);1931
21134;Chamesson;235
76748;Vittefleur;657
16158;Grassac;303
77373;Pontault-Combault;38258
28415;Villemeux-sur-Eure;1716
61350;La Roche-Mabile;161
58127;Giry;188
15200;Saint-Martin-Cantalès;150
45250;Pers-en-Gâtinais;245
83063;La Garde-Freinet;1831
09077;Capoulet-et-Junac;189
44103;Montoir-de-Bretagne;7252
04109;Mallefougasse-Augès;324
28353;Saint-Maur-sur-le-Loir;398
46165;Lavergne;481
02575;Origny-Sainte-Benoite;1638
2B343;Venzolasca;1808
24442;Saint-Léon-sur-l'Isle;2051
47183;Montauriol;203
66126;Oms;344
58101;Dompierre-sur-Nièvre;185
70568;Villers-Vaudey;57
40275;Saint-Maurice-sur-Adour;621
62817;Tilloy-lès-Mofflaines;1519
27488;Renneville;199
24055;Bourdeilles;780
82163;Saint-Jean-du-Bouzet;52
67420;Russ;1237
17022;Asnières-la-Giraud;977
71336;Ouroux-sur-Saône;3134
50436;Romagny;1259
71426;Sainte-Hélène;520
2A114;Figari;1651
14050;La Bazoque;190
30082;Clarensac;4280
22020;Broons;2924
07293;Saint-Romain-de-Lerps;939
52105;Changey;293
61061;Bretoncelles;1469
25331;Lavans-Vuillafans;245
82121;Montauban;61919
86294;Vouillé;3693
70013;Ambiévillers;67
37273;La Ville-aux-Dames;5584
10204;Longeville-sur-Mogne;140
60486;Paillart;570
87037;La Chapelle-Montbrandeix;264
55580;Wavrille;50
76523;Rétonval;177
65466;Vielle-Louron;82
28293;Oulins;1191
31359;Montastruc-Savès;64
29014;Botsorhel;429
10065;Brillecourt;84
22146;Mellionnec;399
11311;Ribaute;265
62712;Rivière;1124
03321;Yzeure;12598
51645;Vindey;108
22063;Gommenec'h;550
71586;Viry;260
67335;Nordheim;940
18045;Chalivoy-Milon;391
33484;Saint-Symphorien;1824
05133;Saint-Chaffrey;1515
03217;Saint-Angel;759
31371;Montégut-Lauragais;414
72073;Chaufour-Notre-Dame;1156
43096;Fontannes;880
60248;Fouilloy;218
56166;Plouay;5784
62448;Hesdin-l'Abbé;1881
29241;Rosporden;7609
47303;Soumensac;225
43010;Arsac-en-Velay;1208
17258;Neuillac;303
63208;Marcillat;325
62083;Barlin;7366
02328;Fossoy;513
68117;Gunsbach;872
28330;Saint-Cloud-en-Dunois;1325
50464;Saint-Denis-le-Vêtu;621
68238;Niffer;970
62475;Ivergny;239
05176;Valserres;279
44116;Paimboeuf;3015
62899;Wissant;848
21251;Essey;303
18149;Méry-ès-Bois;550
02772;Vaux-en-Vermandois;148
47084;Douzains;267
15001;Allanche;794
49036;Bouillé-Ménard;765
22131;Loguivy-Plougras;792
62868;Wail;258
16086;Chassenon;849
95566;Saint-Martin-du-Tertre;2663
72077;Chenu;423
85291;Thorigny;1253
70143;Chauvirey-le-Châtel;119
63450;Verneugheol;230
62662;Polincove;867
17198;Juicq;310
51005;Allemant;176
90054;Grosmagny;534
72219;Neuvy-en-Champagne;794
70555;La Villedieu-en-Fontenette;166
76136;Brachy;687
84058;Lacoste;438
21171;Chevigny-Saint-Sauveur;10944
77203;Germigny-l'Évêque;1345
10138;Épagne;137
84147;Villelaure;3337
35225;Plesder;777
59326;Killem;1181
71216;Germagny;195
76503;Pissy-Pôville;1281
02770;Vauxbuin;778
62182;Buire-au-Bois;238
06066;Gilette;1608
09103;Crampagna;924
02428;Licy-Clignon;74
77366;Le Plessis-l'Évêque;292
59270;Grand-Fayt;475
21184;Colombier;67
59522;Sailly-lez-Lannoy;1949
34123;Juvignac;12783
53109;Grazay;623
80026;Arguel;31
26257;Puygiron;462
50205;La Godefroy;288
17280;Plassay;788
54156;Diarville;473
31198;Le Fréchet;112
29047;Le Drennec;1926
01041;Bettant;749
70154;Cirey;371
59006;Amfroipret;223
45012;Audeville;180
51224;Écriennes;167
66056;Corbère-les-Cabanes;1098
59294;Haynecourt;307
89409;Tharoiseau;61
79336;Vançais;227
58308;Vignol;61
21103;Brazey-en-Plaine;2402
27478;Prey;978
41077;Épiais;123
19010;Argentat;2869
60272;Gilocourt;634
22278;Saint-Brieuc;44224
26067;Chalancon;59
51647;Vitry-en-Perthois;838
71134;Clermain;658
93051;Noisy-le-Grand;70374
65411;Sassis;76
71567;Vergisson;244
13210;Marseille 10e  Arrondissement;59002
88016;Attigny;201
55218;Gremilly;42
76130;Bouelles;272
89171;Foissy-sur-Vanne;287
2B340;Velone-Orneto;111
62672;Puisieux;656
62088;Bayenghem-lès-Seninghem;337
40233;Pouillon;3128
23074;Le Donzeil;187
69218;Saint-Lager;1046
29196;Plouguin;2204
79337;Le Vanneau-Irleau;863
59148;Clairfayts;363
09145;Les Issards;250
55167;Dun-sur-Meuse;613
55138;Culey;125
58243;Saint-Gratien-Savigny;115
33156;Escoussans;279
16222;Montboyer;318
81196;Noailhac;843
55387;Nouillonpont;243
62772;Salperwick;505
64047;Arnéguy;237
67321;Neuviller-la-Roche;328
67491;Tieffenbach;248
58075;Chitry-les-Mines;221
61303;Nécy;520
49261;Les Rosiers-sur-Loire;8464
49009;Antoigné;460
88117;Courcelles-sous-Châtenois;79
03126;Hauterive;1186
40246;Sabres;1165
10024;Avreuil;169
50087;Brix;2149
70298;Lavigney;122
35284;Saint-Jouan-des-Guérets;2801
57453;Maxstadt;300
64048;Arnos;136
51465;Romery;161
39344;Monnet-la-Ville;333
33137;Cours-les-Bains;221
72276;Saint-Cosme-en-Vairais;1888
85101;Le Givre;483
26122;Espenel;185
74174;Mégevette;593
71238;Iguerande;996
40235;Poyanne;695
74150;Loisin;1687
68029;Bergholtz;1108
08362;Rethel;7425
71485;Saint-Vallerin;254
29281;Tourch;1007
55378;Nettancourt;241
51526;Saudoy;390
94021;Chevilly-Larue;20326
59422;Naves;626
57384;Laning;624
38273;Nantes-en-Ratier;465
26103;Condorcet;504
74162;Marcellaz;1058
37274;Villebourg;305
32105;Clermont-Savès;418
95539;Saint-Brice-sous-Forêt;15209
65022;Arcizans-Dessus;114
02371;Harly;1557
80207;Contay;328
32104;Clermont-Pouyguillès;160
09163;Lescousse;81
39561;Villards-d'Héria;385
14607;Saint-Louet-sur-Seulles;137
26206;Montmeyran;2960
71314;Montjay;201
63063;Cébazat;8946
25022;Arcey;1484
2A004;Ajaccio;73822
82104;Marsac;183
25089;Bremondans;101
28404;Vernouillet;12455
50324;Le Mesnil-Véneron;109
08210;Hannogne-Saint-Rémy;112
12154;Montlaur;646
76302;Goderville;2839
09237;Le Puch;29
64311;Lannecaube;148
40259;Saint-Gein;428
60087;Borest;344
28355;Saint-Ouen-Marchefroy;297
2B105;Erbajolo;100
62351;Fouquières-lès-Lens;6233
30032;Beaucaire;15680
03035;Le Bouchaud;199
03218;Saint-Aubin-le-Monial;268
82128;Montfermier;108
04004;Allemagne-en-Provence;541
38135;Courtenay;1300
52433;Romain-sur-Meuse;87
39032;Avignon-lès-Saint-Claude;362
71559;Varennes-sous-Dun;526
31259;Lacroix-Falgarde;2063
48075;Ispagnac;898
62665;Le Ponchel;212
88516;Vittel;4793
52337;Montreuil-sur-Thonnance;61
70235;Flagy;137
65409;Sarriac-Bigorre;282
68020;Bantzenheim;1618
86204;Quinçay;2113
73300;Tresserve;2945
51472;Saint-Amand-sur-Fion;1023
68299;Saint-Ulrich;308
45174;Jouy-en-Pithiverais;260
27298;Graveron-Sémerville;319
10367;La Saulsotte;675
55383;Neuvilly-en-Argonne;221
60470;Noyers-Saint-Martin;898
57713;Vieux-Lixheim;247
12016;Auzits;813
10297;Pont-Sainte-Marie;5143
71171;Dennevy;301
55127;Courcelles-en-Barrois;45
18097;Fussy;1938
57395;Lesse;204
06027;Cagnes-sur-Mer;52580
72096;Coulans-sur-Gée;1633
14678;Soumont-Saint-Quentin;611
25349;Loray;615
80310;Fienvillers;673
40331;Villeneuve-de-Marsan;2465
13040;Fuveau;10115
83053;Évenos;2407
74183;Mieussy;2486
52008;Andelot-Blancheville;863
21294;Gerland;438
19003;Albignac;232
11322;Roquefort-des-Corbières;1021
64429;Orsanco;107
63276;Peschadoires;2099
76074;La Bellière;52
60014;Angivillers;162
59409;Monchecourt;2501
81310;Veilhes;151
70559;Villeparois;191
64229;Gamarthe;128
38005;Allemond;940
40151;Lesgor;428
30022;Aujac;168
44072;Herbignac;7133
31127;Caubous;4
03129;Hyds;304
51633;Villers-Franqueux;300
14659;Saint-Sylvain;1438
02525;Morcourt;556
85192;Rochetrejoux;983
62144;Boiry-Becquerelle;469
06099;Puget-Théniers;1813
69062;Coise;791
51079;Bouzy;839
51589;Vanault-le-Châtel;168
07340;Veyras;1506
02511;Montigny-en-Arrouaise;310
14681;Surrain;145
74122;Faucigny;644
18209;Saint-Georges-de-Poisieux;439
39402;Pagney;363
32274;Monlezun-d'Armagnac;194
80187;La Chaussée-Tirancourt;679
55363;Moulotte;89
53267;Vaiges;1166
81150;Lugan;420
19265;Tarnac;343
67322;Neuwiller-lès-Saverne;1105
07274;Saint-Maurice-en-Chalencon;200
38395;Saint-Hilaire;2415
60053;Beaulieu-les-Fontaines;578
70362;Montigny-lès-Cherlieu;124
88138;Dombasle-devant-Darney;78
21317;Is-sur-Tille;4334
49132;Étriché;1541
70444;La Résie-Saint-Martin;170
64002;Abère;162
46105;Flaujac-Poujols;798
01068;Cerdon;761
72018;Avesnes-en-Saosnois;83
39454;Recanoz;93
57524;Ommeray;128
86081;Colombiers;1421
79348;Villefollet;209
72121;Douillet;317
47160;Masquières;179
50311;Le Mesnil-Garnier;225
88177;La Forge;517
62834;Vacqueriette-Erquières;253
55500;Spincourt;818
47095;Fauillet;859
12097;Espeyrac;250
03276;Sussat;103
50072;Brainville;211
73110;Esserts-Blay;765
22040;Coadout;553
38508;Torchefelon;822
57281;Haboudange;232
14601;Saint-Julien-sur-Calonne;169
45156;Girolles;594
21306;Grenant-lès-Sombernon;214
57230;Fouligny;193
63327;Saint-Bonnet-près-Riom;2072
73315;Villard-Léger;443
80062;Beaucamps-le-Vieux;1448
57010;Alaincourt-la-Côte;159
89286;Parly;837
62232;La Comté;882
68265;Rantzwiller;800
91471;Orsay;16007
81314;Viane;533
31553;Thil;1132
77220;Guercheville;264
70030;Arsans;45
33511;Sendets;344
62512;Ligny-lès-Aire;563
90004;Argiésans;567
17163;Fontaines-d'Ozillac;512
54419;Parux;74
44178;Saint-Mars-de-Coutais;2645
08336;Osnes;230
08173;Flize;1695
57726;Vittoncourt;386
61199;Habloville;332
88478;Tranqueville-Graux;96
57367;Klang;216
91679;Villiers-le-Bâcle;1097
50447;Saint-Aubin-des-Préaux;461
11069;Carcassonne;46218
55026;Badonvilliers-Gérauvilliers;128
21159;La Chaume;98
28264;Montireau;137
06043;Coaraze;817
11043;Bouilhonnac;219
80417;Harbonnières;1640
25462;Pontarlier;17849
80205;Condé-Folie;888
52005;Aizanville;30
07332;Valvignères;435
26016;Aubres;421
81325;Viviers-lès-Montagnes;1984
28157;Fontenay-sur-Conie;140
07268;Saint-Martin-d'Ardèche;939
35309;Saint-Rémy-du-Plain;812
49055;Cantenay-Épinard;2380
70083;Bouligney;404
71205;Frangy-en-Bresse;667
14277;Fontenay-le-Marmion;1997
26378;Volvent;35
80413;Hancourt;89
92050;Nanterre;97351
65265;Laslades;330
61369;Saint-Bômer-les-Forges;1024
72379;Viré-en-Champagne;200
34193;Pardailhan;173
60385;Marolles;650
60209;Énencourt-le-Sec;544
11400;Tréziers;102
38264;La Morte;139
72331;Sceaux-sur-Huisne;582
35077;Chelun;346
77053;Brie-Comte-Robert;19213
972222;Le Robert;21305
01379;Saint-Maurice-de-Rémens;756
10402;La Vendue-Mignot;243
76544;Rouvray-Catillon;227
50144;Coulouvray-Boisbenâtre;529
21684;Vignoles;924
27548;Saint-Germain-sur-Avre;1182
28094;Chaudon;1665
43046;Chadrac;2463
88466;They-sous-Montfort;125
31137;Cessales;160
79088;Chiché;1682
54298;Laneuveville-derrière-Foug;155
88008;Anglemont;161
45148;Fontenay-sur-Loing;1693
37229;Saint-Nicolas-des-Motets;239
63160;Flat;932
12182;Pierrefiche;284
70125;Champvans;175
21410;Meulson;29
67118;Eckbolsheim;7199
89076;Champlost;792
43001;Agnat;173
34280;Saint-Nazaire-de-Pézan;613
03238;Saint-Hilaire;515
974409;Saint-André;57150
80226;Croix-Moligneaux;269
15052;Collandres;159
31220;Gibel;383
39162;Condamine;249
16241;Nanclars;210
12255;Salmiech;759
60017;Ansauvillers;1163
47238;Sainte-Colombe-en-Bruilhois;1548
02291;Estrées;409
19144;Montgibaud;244
85306;Xanton-Chassenon;740
85049;Champagné-les-Marais;1806
09006;Alliat;56
52336;Montreuil-sur-Blaise;135
65374;Puydarrieux;232
60426;Montreuil-sur-Thérain;248
34290;Saint-Vincent-de-Barbeyrargues;753
50038;Beauchamps;434
77216;Grez-sur-Loing;1436
08381;Saint-Germainmont;816
44062;Le Gâvre;1861
39356;Montigny-sur-l'Ain;210
67231;Kauffenheim;215
71535;Tavernay;512
37028;Bossay-sur-Claise;724
43103;Grenier-Montgon;111
64074;Aubous;44
55346;Montfaucon-d'Argonne;290
32039;Beccas;121
39557;Vescles;184
15095;Laroquevieille;349
09158;Lasserre;252
11334;Sainte-Camelle;121
66181;Sainte-Léocadie;123
68354;Walbach;916
79096;Combrand;1167
62306;Ervillers;390
27202;Daubeuf-près-Vatteville;461
49053;Brossay;344
32019;Auterive;527
67043;Bischheim;17939
67490;Thanvillé;609
68382;Zaessingue;386
50034;Baudre;578
66106;Maureillas-las-Illas;2762
66083;Fosse;41
66067;Err;699
01099;Chazey-sur-Ain;1600
07318;Tauriers;202
79148;Lezay;2003
17028;Aytré;9578
73017;Apremont;972
31413;Pelleport;531
70409;Pierrecourt;110
59211;Esquerchin;901
89014;Arces-Dilo;608
87075;Isle;7853
55012;Apremont-la-Forêt;424
33509;Savignac-de-l'Isle;569
85284;Soullans;4416
04084;Estoublon;483
53193;Ruillé-Froid-Fonds;569
14557;Saint-Arnoult;1105
56197;Le Roc-Saint-André;2790
21630;Thoisy-le-Désert;215
55465;Saint-Remy-la-Calonne;100
60132;Catigny;183
02482;Meurival;55
95387;Menouville;63
09230;Le Pla;62
72107;Crannes-en-Champagne;343
71043;Les Bordes;84
86126;Leignes-sur-Fontaine;645
45246;Pannecières;123
07289;Saint-Privat;1667
45287;Saint-Loup-de-Gonois;
77386;Recloses;616
76217;Dieppe;28358
64486;Saint-Jean-Poudge;69
54200;Flirey;161
58155;La Marche;542
63462;Virlet;268
07154;Mazan-l'Abbaye;123
26315;Saint-Martin-en-Vercors;409
24437;Saint-Laurent-des-Vignes;1001
38206;Laval;990
68158;Jettingen;495
35310;Saint-Sauveur-des-Landes;1551
82006;Auterive;71
54484;Sainte-Pôle;181
14590;Sainte-Honorine-de-Ducy;136
77380;Puisieux;319
34037;Boujan-sur-Libron;3452
91038;Auvers-Saint-Georges;1277
89279;Noyers;588
19142;Monestier-Port-Dieu;122
06131;Sallagriffon;47
74172;Maxilly-sur-Léman;1508
46006;Anglars-Nozac;394
41100;Les Hayes;168
48054;Cubiérettes;47
55194;Foucaucourt-sur-Thabas;61
15202;Saint-Martin-Valmeroux;710
21339;Lantenay;505
14466;Norolles;340
78590;Senlisse;501
42179;Pralong;858
76597;Saint-Laurent-en-Caux;749
06123;Saint-Laurent-du-Var;30941
85022;Le Bernard;1293
71430;Saint-Jean-de-Vaux;387
56211;Saint-Congard;801
83077;Méounes-lès-Montrieux;2243
47233;Sainte-Bazeille;3173
43164;Roche-en-Régnier;476
51012;Anthenay;71
31269;Lamasquère;1607
76710;Trémauville;102
24090;Celles;602
21120;La Bussière-sur-Ouche;172
36047;La Châtre-Langlin;496
07061;Chauzon;422
40116;Gouts;273
39035;Balanod;344
27194;Cuverville;249
72229;Parennes;456
55264;Koeur-la-Petite;258
36208;Sainte-Sévère-sur-Indre;775
29070;Guiler-sur-Goyen;523
58162;Menestreau;100
62019;Aix-Noulette;3913
86136;Lizant;370
54435;Prény;366
85231;Saint-Hilaire-la-Forêt;801
76672;Serqueux;957
21260;Fain-lès-Moutiers;152
51420;Outrepont;79
38209;Lentiol;245
80544;Mézerolles;184
03271;Serbannes;813
2B180;Novella;79
15231;Talizat;601
06053;Daluis;143
62795;Sibiville;113
16283;Ronsenac;571
78517;Rambouillet;26816
10126;Dolancourt;127
80228;Le Crotoy;1972
51149;Chepy;449
57497;Nelling;261
31414;Peyrissas;80
62444;Hervelinghen;223
04042;Castellet-lès-Sausses;138
33481;Saint-Sulpice-de-Guilleragues;233
04111;Mane;1369
51319;Lenharrée;104
48097;Moissac-Vallée-Française;218
77150;Cuisy;466
76428;Le Mesnil-Durdent;16
08041;Baâlons;206
28377;Sorel-Moussel;1722
36029;Buxeuil;227
41070;Couture-sur-Loir;519
10392;Vallant-Saint-Georges;411
51303;Jâlons;550
08190;Givet;6347
2B074;Casanova;385
50431;Remilly-sur-Lozon;1058
65429;Sombrun;201
52091;Cerisières;85
50350;Montpinchon;534
53204;Saint-Calais-du-Désert;395
91186;Courson-Monteloup;576
63273;Pérignat-sur-Allier;1498
32100;Cazeneuve;163
64519;Serres-Castet;4376
77391;Rouilly;493
88049;Belmont-lès-Darney;112
19091;Hautefage;318
95253;Frémainville;509
80678;Rollot;770
23132;Montaigut-le-Blanc;385
52380;Peigney;392
67525;Westhoffen;1693
54521;Thil;1987
72051;Cérans-Foulletourte;3387
57644;Seingbouse;1717
35271;Saint-Georges-de-Reintembault;1507
47227;Ruffiac;180
08149;L' Échelle;138
32288;Montiron;140
53163;Neau;763
08137;Damouzy;438
64282;Jatxou;1247
32141;Gaujan;116
25304;Hérimoncourt;3575
82005;Aucamville;1541
57155;Courcelles-Chaussy;2986
59236;Flesquières;263
60026;Auchy-la-Montagne;569
77136;Courquetaine;190
46266;Saint-Félix;536
10282;Payns;1384
60634;Thieux;438
62681;Quiestède;642
71392;Saint-Boil;491
63203;Malauzat;1160
23224;Saint-Oradoux-de-Chirouze;71
18223;Saint-Martin-d'Auxigny;2505
02053;Baulne-en-Brie;581
43145;Ouides;54
80531;Méricourt-en-Vimeu;101
89170;Foissy-lès-Vézelay;118
11299;Preixan;633
14741;Le Vey;121
05036;Châteauroux-les-Alpes;1212
03236;Saint-Germain-des-Fossés;3638
21413;Millery;408
77337;Noisiel;15461
34007;Aigues-Vives;467
08003;Aiglemont;1659
54104;Buissoncourt;255
30111;Foissac;444
92051;Neuilly-sur-Seine;59267
51463;Les Rivières-Henruel;160
63310;Sainte-Agathe;170
61348;Réveillon;363
51102;Cauroy-lès-Hermonville;494
79063;Cersay;2027
56133;Missiriac;1180
84024;Cabrières-d'Aigues;949
52421;Riaucourt;432
79153;Loubigné;156
04086;Faucon-de-Barcelonnette;293
10029;Balnot-sur-Laignes;154
62547;Marant;64
21156;Chaudenay-le-Château;48
39513;Sermange;225
88186;Frenelle-la-Petite;47
83117;Saint-Paul-en-Forêt;1760
76186;Conteville;500
50353;Le Mont-Saint-Michel;25
51292;Herpont;121
69208;Saint-Germain-Nuelles;2245
10050;Bossancourt;194
70004;Adelans-et-le-Val-de-Bithaine;310
85113;L' Île-d'Yeu;4877
53051;Champéon;613
32449;Toujouse;294
40162;Lucbardez-et-Bargues;570
17269;Orignolles;703
25199;Déservillers;339
62737;Sains-en-Gohelle;5995
01232;Marboz;2268
55117;Clermont-en-Argonne;1438
02464;Margival;362
02753;Tupigny;328
02258;Dammard;372
82088;Laguépie;637
27036;Bâlines;544
16005;Aigre;1597
23003;Alleyrat;137
70166;Comberjon;147
38476;Savas-Mépin;886
27046;Bazoques;142
70421;Port-sur-Saône;2977
59080;Beuvry-la-Forêt;2834
46191;Mercuès;1130
31426;Pointis-de-Rivière;845
64158;Cabidos;170
16404;Vieux-Ruffec;109
66121;Néfiach;1343
16096;Cherves-Châtelars;418
51406;Norrois;154
60508;Pontpoint;3251
39013;Arbois;3193
63451;Vernines;420
31409;Péchabou;2399
63379;Saint-Myon;538
89080;La Chapelle-sur-Oreuse;659
85051;Chantonnay;8447
17262;Nieul-lès-Saintes;1239
84106;Sainte-Cécile-les-Vignes;2637
07247;Saint-Jean-le-Centenier;866
42262;Saint-Maurice-en-Gourgois;1822
32352;Rozès;113
59090;Bondues;9713
39126;La Chaumusse;393
45062;Cercottes;1505
80754;Thieulloy-l'Abbaye;388
11393;Tourouzelle;489
17278;Pisany;790
65316;Monlong;107
32401;Saint-Ost;88
02551;Neuville-sur-Margival;112
42038;Chalain-le-Comtal;730
27018;Appeville-Annebault;989
76573;Saint-Denis-le-Thiboult;500
70156;Citey;112
19202;Sainte-Féréole;2040
14635;Saint-Omer;189
22294;Saint-Gilles-Pligeaux;305
36165;Pouligny-Saint-Pierre;1022
27355;Ivry-la-Bataille;2638
67500;Urmatt;1448
59519;Rumegies;1740
05026;Ceillac;277
02508;Monthenault;151
38030;Beaucroissant;1896
46262;Saint-Cyprien;624
67367;Otterswiller;1303
77226;Héricy;2511
88463;Taintrux;1477
42113;Jas;239
81225;Rivières;1071
17423;Semillac;71
70164;Colombotte;74
25121;Chapelle-des-Bois;260
74012;Annemasse;37918
60703;Aux Marais;901
18170;Oizon;667
39500;Salins-les-Bains;2471
10426;Ville-sous-la-Ferté;905
33112;Caumont;137
95409;Moisselles;1254
27697;Vironvay;334
62788;Seninghem;693
62282;Éclimeux;181
60167;Couloisy;592
44222;La Roche-Blanche;1245
77087;La Chapelle-Iger;184
80351;Fréchencourt;257
03188;Montord;212
38496;Sonnay;1276
14203;Cricqueville-en-Auge;187
16107;Coulgens;546
76278;Foucarmont;792
67215;Huttendorf;494
42178;Pradines;887
57549;Pontpierre;751
88116;Cornimont;3045
44110;Nort-sur-Erdre;9327
85100;Givrand;2227
81099;Gaillac;15663
79019;Aubigny;160
45096;Les Choux;530
58279;Sichamps;171
93071;Sevran;51845
81300;Tonnac;96
64148;Bruges-Capbis-Mifaget;854
13106;Septèmes-les-Vallons;11734
39325;Mesnay;576
59486;Râches;2660
80115;Bouchavesnes-Bergen;285
32049;Bétous;72
28239;Marville-Moutiers-Brûlé;985
40230;Pontonx-sur-l'Adour;2932
14748;Vieux-Bourg;77
70063;Belonchamp;210
66061;Coustouges;90
40089;Doazit;854
01457;Vonnas;3216
92064;Saint-Cloud;29727
32130;Faget-Abbatial;215
62170;Bouvigny-Boyeffles;2371
43183;Sainte-Eugénie-de-Villeneuve;111
21415;Minot;185
72364;Vaas;1384
68170;Koetzingue;582
06079;Mandelieu-la-Napoule;21561
45268;Saint-Aignan-le-Jaillard;608
26148;Hauterives;1887
67222;Ingwiller;4011
09273;Saint-Pierre-de-Rivière;674
89373;Saligny;668
76318;Grand-Camp;763
40314;Tercis-les-Bains;1307
2B171;Muracciole;34
54303;Laronxe;364
74116;Etaux;2034
88473;Tignécourt;90
87066;Flavignac;1065
14512;Pontécoulant;70
55380;Neuville-en-Verdunois;51
02363;Guny;368
21511;Puits;132
81245;Saint-Christophe;125
63343;Saint-Flour;275
02633;Quincy-sous-le-Mont;61
29293;Trégunc;7050
59391;Mastaing;889
25310;Huanne-Montmartin;102
89237;Mailly-la-Ville;492
31533;Saubens;2337
24365;Saint-Amand-de-Vergt;248
53169;Olivet;408
08171;Fléville;93
44170;Saint-Julien-de-Vouvantes;955
66161;Ria-Sirach;1324
59007;Anhiers;893
02189;Chivres-en-Laonnois;349
08159;Euilly-et-Lombut;110
28265;Montlandon;256
25046;Battenans-Varin;77
52146;Coupray;164
62755;Saint-Léonard;3338
72181;Le Mans;145004
89355;Saint-Martin-sur-Armançon;144
91145;Chatignonville;71
27535;Saint-Élier;415
11238;Molleville;144
50026;Azeville;76
51534;Serzy-et-Prin;211
14455;Moulines;274
71208;Frontenard;206
33040;Béguey;1208
62848;Verquin;3459
02656;Roucy;384
64370;Maucor;570
27282;Gauville-la-Campagne;633
42055;Châtelus;134
59029;Auchy-lez-Orchies;1486
87018;Blond;690
73077;Les Chapelles;564
52522;Viéville;335
50112;La Chaise-Baudouin;452
53177;La Pellerine;299
42186;Rive-de-Gier;15214
80624;Pierregot;285
22239;Plumaudan;1382
45042;Les Bordes;1871
85191;La Roche-sur-Yon;54952
