codgeo;libgeo;p21_pop
66117;Mont-Louis;147
67230;Kaltenhouse;2478
27198;Damville;6145
32254;Miramont-d'Astarac;349
65391;Sainte-Marie;59
72362;Le Tronchet;168
69384;Lyon 4e  Arrondissement;35603
13206;Marseille 6e  Arrondissement;39647
40147;Laurède;368
47101;Fourques-sur-Garonne;1322
88076;Brouvelieures;421
42212;Saint-Cyr-de-Favières;1019
89321;Ravières;719
77416;Saint-Just-en-Brie;255
54248;Hamonville;101
82148;Puylaroque;682
47008;Ambrus;109
65145;Chèze;49
03063;Chassenard;1026
65085;Bernadets-Debat;103
59008;Aniche;9997
70112;Cemboing;170
84134;Travaillan;713
71009;Anost;710
33220;Lamarque;1337
07282;Saint-Pierre-de-Colombier;441
66214;Tresserre;1155
38089;Chassignieu;223
14283;Fourches;218
08268;Maisoncelle-et-Villers;70
54383;Mont-sur-Meurthe;1136
13061;Saint-Pierre-de-Mézoargues;223
62748;Saint-Folquin;2328
04203;Selonnet;466
71319;Montret;763
71580;Vincelles;439
22345;Trébry;801
24052;Bouillac;126
30306;Salinelles;553
25125;Charmoille;322
55327;Mauvages;244
16399;Verrières;333
58087;Cossaye;673
71270;Mâcon;34448
64097;Barzun;624
41168;Orçay;225
24477;Saint-Pardoux-de-Drône;192
70138;Chassey-lès-Scey;123
02352;Gouy;567
11102;Couffoulens;554
18022;Barlieu;339
68370;Wildenstein;161
59364;Louvil;895
45136;Ervauville;554
40012;Artassenx;260
78358;Maisons-Laffitte;23080
52431;Rochetaillée;161
88189;Fréville;130
43104;Grèzes;188
07176;Planzolles;161
67507;Villé;1775
73155;Méry;2135
01125;Corveissiat;596
06085;Mougins;19677
84082;Mormoiron;1879
38243;Le Monestier-du-Percy;248
11258;Moussan;2066
82030;Castelferrus;490
68204;Metzeral;1043
60347;Lannoy-Cuillère;284
61217;La Lande-de-Lougé;55
59508;Roncq;13784
17388;Saint-Quantin-de-Rançanne;252
21198;Corrombles;246
63247;Murol;640
76560;Saint-Aubin-Épinay;1019
21590;Savigny-lès-Beaune;1286
01058;Brégnier-Cordon;818
74275;Talloires;1926
59191;Élincourt;631
45255;Préfontaines;433
05066;La Haute-Beaume;8
06012;Beausoleil;12674
13111;Vauvenargues;1041
64365;Malaussanne;432
57254;Gorze;1145
21431;Montigny-sur-Armançon;154
79014;Argenton-l'Église;2599
57655;Solgne;1131
49336;Somloire;866
50048;Beslon;551
36198;Saint-Lactencin;402
50139;Condé-sur-Vire;4106
72135;La Fontaine-Saint-Martin;600
47229;Saint-Astier;224
