"VillePlus","Adresse","Ville"
"Magasin de LA CHAPELLE-SAINT-AUBIN","    1, rue Albert de Dion Route d'Alençon 72650 LA-CHAPELLE-ST-AUBIN","LA-CHAPELLE-ST-AUBIN"
"Magasin de LAVAL","    35, Allée de la Chartrie 53000 LAVAL ","LAVAL"
"Magasin de LAXOU","    ZAC de la Sapinière 54520 LAXOU ","LAXOU"
"Magasin du CREUSOT","    81, avenue de la République 71200 LE CREUSOT ","LE CREUSOT"
"Magasin du MESNIL-LE-ROI","    45, rue Maurice Berteaux 78600 LE MESNIL LE ROI ","LE MESNIL LE ROI"
"Magasin de LEMPDES","    rue du Pontel 63370 LEMPDES ","LEMPDES"
"Magasin de LISIEUX","    Av. Guillaume le Conquérant ZAC de l'Espérance 14100 LISIEUX","LISIEUX"
"Magasin de LONS-LE-SAUNIER","    40, Place du Maréchal Juin 39000 LONS LE SAUNIER ","LONS LE SAUNIER"
"Magasin de LUNÉVILLE","    3-5, Avenue de la Libération 54300 LUNEVILLE ","LUNEVILLE"
"Magasin de LURE","    3, rue de Froideterre 70200 LURE ","LURE"
"Magasin de LYON JEAN XXIII","    47, boulevard Jean XXIII 69008 LYON ","LYON"
"Magasin de MAINVILLIERS","    1, Rue Jean Rostand 28300 MAINVILLIERS ","MAINVILLIERS"
"Magasin de MALAUZAT","    ZAC des Gardelles 63200 MALAUZAT ","MALAUZAT"
"Magasin de MARMANDE","    Avenue Pierre Buffin 47200 MARMANDE ","MARMANDE"
"Magasin de MARSEILLE","    111, Route de Valentine ZAC de la Valentine 13011 MARSEILLE","MARSEILLE"
"Magasin de MENNECY","    2 rue Jean Cocteau ZAC de Montvrain II 91540 MENNECY","MENNECY"
"Magasin de METZ PASTEUR","    16 Bis, Rue Pasteur 57000 METZ ","METZ"
"Magasin de METZ EUROPE","    44, Boulevard de l'Europe 57070 METZ ","METZ"
"Magasin de MIONS","    152, route d'Heyrieux 69780 MIONS ","MIONS"
"Magasin de MONDELANGE","    50 A, rue de Bousse 57300 MONDELANGE ","MONDELANGE"
"Consigne de MONDELANGE","    3, rue de Bousse 57300 MONDELANGE ","MONDELANGE"
"Magasin de MONTBRISON","    46, avenue de St-Etienne 42600 MONTBRISON ","MONTBRISON"
"Magasin de MONTCEAU-LES-MINES","    94-96, quai Jules Chagot 71300 MONTCEAU-LES-MINES ","MONTCEAU-LES-MINES"
"Magasin de MONTÉLIMAR","    Rue du Maréchal Leclerc 26200 MONTELIMAR ","MONTELIMAR"
"Magasin de MONTEUX","    Avenue de Beaulieu ZC SuperU CC Horizon Provence 84170 MONTEUX","MONTEUX"
"Magasin de MONTPELLIER","    35, Rue du Jeu de Boules 34000 MONTPELLIER ","MONTPELLIER"
"Magasin de MORSCHWILLER-LE-BAS","    1 Avenue Jean Monnet ZC LEROY MERLIN 68790 MORSCHWILLER LE BAS","MORSCHWILLER LE BAS"
"Magasin de MULHOUSE","    6, Avenue de Riedisheim 68100 MULHOUSE ","MULHOUSE"
"Magasin de NANCY","    39 bis, Rue du Faubourg des Trois Maisons 54000 NANCY","NANCY"
"Magasin de NEVERS","    61, Bd du Grand Pré des Bordes 58000 NEVERS ","NEVERS"
"Magasin d'OLIVET","    1440 rue de la Bergeresse Gde Halle Petite Villette 45160 OLIVET","OLIVET"
"Magasin d'ORANGE","    zac Du Coudoulet 191 Avenue de l'Europe 84100 ORANGE","ORANGE"
"Magasin de PANAZOL","    3 bis, avenue Président Sadi Carnot 87350 PANAZOL","PANAZOL"
"Magasin de PERRIGNY","    7 Allée Fontaine 89000 PERRIGNY ","PERRIGNY"
"Magasin de PIERRE-BÉNITE","    16, Rue Jules Guesde 69310 PIERRE BENITE ","PIERRE BENITE"
"Magasin de PITHIVIERS","    Rue Flora Tristan ZAC de Senives 45300 PITHIVIERS","PITHIVIERS"
"Magasin de PONT-À-MOUSSON","    ZAC du Breuil Allée Pierre Brossolette 54700 PONT A MOUSSON","PONT A MOUSSON"
"Magasin de PONTARLIER","    2 rue Edgar Faure ZAC des Grands Planchants 25300 PONTARLIER","PONTARLIER"
"Magasin de PORTO-VECCHIO","    Lotissement de Poretta Les 4 chemins-route de Bastia 20137 PORTO VECCHIO","PORTO VECCHIO"
"Magasin de REIMS MURIGNY","    Rue Jacques Maritain 51100 REIMS ","REIMS"
"Magasin de REMIREMONT","    96, rue de la Filature 88200 REMIREMONT ","REMIREMONT"
"Magasin de RENNES","    318 rue de Saint Malo ZAC de l'Auge de Pierre 35000 RENNES","RENNES"
"Magasin de REZÉ","    82, rue Ernest  Sauvestre 44400 REZE ","REZE"
"Magasin de RILLIEUX-LA-PAPE","    225, Avenue de l'Hippodrome 69140 RILLIEUX LA PAPE ","RILLIEUX LA PAPE"
"Magasin de RIORGES","    381, avenue Charles de Gaulle 42153 RIORGES ","RIORGES"
"Magasin de RIS-ORANGIS","    30 à 34, Avenue Albert Remy RN 7 91130 RIS ORANGIS","RIS ORANGIS"
"Magasin de ROFFIAC","    Zone de Montplain Allauzier 15100 ROFFIAC ","ROFFIAC"
"Magasin de ROMANS-SUR-ISÈRE","    49, avenue des Allobroges 26100 ROMANS-SUR-ISERE ","ROMANS-SUR-ISERE"
"Magasin de ROMILLY","    197, Rue Aristide Briand 10100 ROMILLY SUR SEINE ","ROMILLY SUR SEINE"
"Magasin de RUMILLY","    11, rue René Cassin 74150 RUMILLY ","RUMILLY"
"Magasin de SAINT-DENIS-LÈS-SENS","    2, rue des Wagons Sainte Colombe 89100 SAINT DENIS LES SENS","SAINT DENIS LES SENS"
"Magasin de SAINT-DIZIER","    3, Avenue Pierre Bérégovoy 52100 SAINT DIZIER ","SAINT DIZIER"
"Magasin de SAINT-JEAN-DE-SOUDAIN","    678 Route de Lyon 17 Chemin de Chapon 38110 SAINT JEAN DE SOUDAIN","SAINT JEAN DE SOUDAIN"
"Magasin de SAINT-MAUR","    43 Avenue Occitanie Cap Sud 36250 SAINT MAUR ","SAINT MAUR"
"Magasin de SAINT-PARRES-AUX-TERTRES","    Lotissement commercial ""Aire des Moissons"""" 10410 SAINT PARRES AUX TERTRES""","SAINT PARRES AUX TERTRES"
"Magasin de SAINT-QUENTIN PONTOILE","    12 Boulevard de Verdun 02100 SAINT QUENTIN ","SAINT QUENTIN"
"Magasin de SAINT-ÉTIENNE","    5, allée Claude Grivolla 42100 SAINT-ETIENNE ","SAINT-ETIENNE"
"Magasin de SAINT-MEMMIE","    81,avenue Président Roosevelt 51470 SAINT-MEMMIE ","SAINT-MEMMIE"
"Magasin de SAINTE-MARGUERITE","    557, Rue Ernest Charlier 88100 SAINTE MARGUERITE ","SAINTE MARGUERITE"
"Magasin de SAINTES","    5-7, avenue de Saintonge 17100 SAINTES ","SAINTES"
"Magasin de SALAISE-SUR-SANNE","    70 Rue de Jonchain Sud 38150 SALAISE SUR SANNE ","SALAISE SUR SANNE"
"Magasin de SARREBOURG","    15 rue de la Bièvre 57400 SARREBOURG ","SARREBOURG"
"Magasin de SARREGUEMINES","    119, Rue Maréchal Foch 57200 SARREGUEMINES ","SARREGUEMINES"
"Magasin de SAUMUR","    141 bis, rue de Rouen Saint-Lambert-des-Levées 49400 SAUMUR","SAUMUR"
"Magasin de SCHWEIGHOUSE-SUR-MODER","    6, place Geisselbronn 67590 SCHWEIGHOUSE/MODER ","SCHWEIGHOUSE-SUR-MODER"
"Magasin de SÉLESTAT","    101 A, route de Colmar 67600 SELESTAT ","SELESTAT"
"Magasin de SIERENTZ","    70, rue Poincaré 68510 SIERENTZ ","SIERENTZ"
"Magasin de SOYONS","    154 Route de Valence ZACLESFREYDIERES-Intermarché 07130 SOYONS","SOYONS"
"Magasin de SAINT-ANDRÉ-LES-VERGERS","    Avenue Charles de Refuge 10120 ST ANDRE LES VERGERS ","ST ANDRE LES VERGERS"
"Magasin de SAINT-BRICE-COURCELLES","    11 rue du Mont César la Croix Maurencienne 51370 ST BRICE COURCELLES","ST BRICE COURCELLES"
"Magasin de SAINT-JEAN-DE-MAURIENNE","    1428 avenue du 8 mai 1945 ZC Carf Market - Marie Blachèr 73300 ST JEAN DE MAURIENNE","ST JEAN DE MAURIENNE"
"Consigne de SAINTE MARGUERITE","    557, RUE ERNEST CHARLIER 88100 STE MARGUERITE ","STE MARGUERITE"
"Magasin de TAILLECOURT","    16A, rue de la Croisée 25400 TAILLECOURT ","TAILLECOURT"
"Magasin de TARBES","    Route de Pau RN 117 65000 TARBES","TARBES"
"Magasin de THIERS","    1, Rue François Truffaut 63300 THIERS ","THIERS"
"Magasin de THIONVILLE","    32, Route d'Esch Sur Alzette 57100 THIONVILLE ","THIONVILLE"
"Magasin de THONON-LES-BAINS","    19, Avenue de Genève 74200 THONON LES BAINS ","THONON LES BAINS"
"Magasin de TOUL","    4, Rue Paul Keller 54200 TOUL ","TOUL"
"Magasin de TOULON","    117, avenue Lazare Carnot 83000 TOULON ","TOULON"
"Magasin de TOURS GRAMMONT","    70 avenue de Grammont 37000 TOURS ","TOURS"
"Magasin de TRANS-EN-PROVENCE","    Lotissement Commercial du Plan 83720 TRANS EN PROVENCE ","TRANS EN PROVENCE"
"Magasin de TRÉGUEUX","    7, Rue Jean Monnet 22950 TREGUEUX ","TREGUEUX"
"Magasin de TULLE","    Centre commercial Citéa Quai Victor Continsouza 19000 TULLE","TULLE"
"Magasin de VAURÉAL","    2 Rond-point de la Croix Lieu 95490 VAUREAL ","VAUREAL"
"Magasin de VERDUN","    54-56, Avenue de Metz 55100 VERDUN ","VERDUN"
"Magasin de VERT-SAINT-DENIS","    260, RD 306 La Fontaine Ronde 77240 VERT-SAINT-DENIS","VERT-SAINT-DENIS"
"Magasin de VESOUL (ALLIÉS)","    42, Boulevard des Alliés 70000 VESOUL ","VESOUL"
"Magasin de VESOUL (MONNET)","    12 rue Claude MONNET Espace de la Motte 70000 VESOUL","VESOUL"
"Magasin de VICHY","    8, Rue des Bartins 03200 VICHY ","VICHY"
"Magasin de VIENNE","    Chemin des Lones Estressin 38200 VIENNE ","VIENNE"
"Magasin de VIERZON","    90, avenue du 8 mai 1945 18100 VIERZON ","VIERZON"
"Magasin de VILLEFRANCHE","    32, rue Pierre Berthier 69400 VILLEFRANCHE/SAONE ","Villefranche-sur-Saône"
"Magasin de VILLERS-SEMEUSE","    Centre Commercial Villers II 08000 VILLERS SEMEUSE ","VILLERS SEMEUSE"
"Magasin de VINZELLES","    999 route des Cadots Pôle commercial de Vinzelles 71680 VINZELLES","VINZELLES"
"Magasin de VITRY-LE-FRANÇOIS","    13, Avenue de Paris 51300 VITRY-LE-FRANCOIS ","VITRY-LE-FRANCOIS"
"Magasin de WOIPPY","    26, avenue de Thionville 57140 WOIPPY ","WOIPPY"
"Magasin d'YVRÉ-L'ÉVÊQUE","    62, Avenue du Mans 72530 Yvré L'Evêque ","Yvré L'Evêque"
"Magasin d'YZEURE","    132, Route de Lyon 03400 YZEURE ","YZEURE"
